date,max_temp,min_temp
2021-08-01,38.6,25.5
2021-08-02,40.2,25.6
2021-08-03,41.6,26.7
2021-08-04,43.1,28.1
2021-08-05,42.0,29.2
2021-08-06,40.1,25.2
2021-08-07,39.8,24.9
2021-08-08,39.9,24.0
2021-08-09,36.2,25.6
2021-08-10,35.9,26.6
2021-08-11,34.9,25.3
2021-08-12,37.3,24.6
2021-08-13,38.1,27.2
2021-08-14,36.3,26.7
2022-08-01,34.1,23.8
2022-08-02,36.0,25.4
2022-08-03,38.5,26.2
2022-08-04,33.9,25.7
2022-08-05,33.7,23.6
2022-08-06,37.5,25.6
2022-08-07,38.2,26.6
2022-08-08,34.5,26.6
2022-08-09,36.5,25.9
2022-08-10,37.2,25.9
2022-08-11,37.7,25.8
2022-08-12,37.2,26.3
2022-08-13,36.7,26.0
2022-08-14,32.4,24.3
2023-08-01,34.9,25.6
2023-08-02,38.5,26.0
2023-08-03,38.3,25.8
2023-08-04,38.7,21.1
2023-08-05,40.7,24.2
2023-08-06,40.9,26.2
2023-08-07,39.3,26.2
2023-08-08,37.1,24.7
2023-08-09,35.9,25.8
2023-08-10,35.3,26.2
2023-08-11,35.9,25.0
2023-08-12,35.9,23.9
2023-08-13,37.7,25.1
2023-08-14,37.7,25.0
2024-08-01,35.9,27.4
2024-08-02,38.6,26.7
2024-08-03,41.7,26.3
2024-08-04,41.9,27.3
2024-08-05,42.0,28.9
2024-08-06,42.5,29.7
2024-08-07,37.9,27.1
2024-08-08,38.6,26.9
2024-08-09,38.7,26.4
2024-08-10,39.3,28.6
2024-08-11,35.7,28.7
2024-08-12,36.9,25.1
2024-08-13,39.1,26.7
2024-08-14,38.1,22.6
2025-08-01,39.1,24.5
2025-08-02,40.4,24.1
2025-08-03,40.5,24.3
2025-08-04,39.2,23.6
2025-08-05,40.5,24.2
2025-08-06,41.4,26.3
2025-08-07,42.2,27.2
2025-08-08,41.6,27.8
2025-08-09,40.5,27.9
2025-08-10,40.4,26.9
2025-08-11,42.5,28.1
2025-08-12,41.8,28.1
2025-08-13,40.3,26.7
2025-08-14,39.4,24.9
